Serial Number,Success,Status,MAC Address,Part Number,Device Model,Device Status,Workspace ID,Folder,Rule,Error,Order Obj Key,Order Category,Order POS ID,Order Serial Number,Order MAC Address,Order Bill To Name,Order End User Name,Order Part Number,Order Part Description,Order Invoice Date,Order Ship Date,Order Qty,Order Ext Cost,Order Invoice No,Order Order No,Order Customer PO,Order Line No,Order Line Type,Order Zip Code,Order Source,Order Status,Order Party ID,Order Country Party ID,Order Global Party ID,Order Created At,Order Updated At
"CNPBKPP2GL",True,"Found","34:3A:20:C9:18:C2","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38976996","network","7100832648","CNPBKPP2GL","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38976996","0","","","IN","complete","","","","2023-03-02T19:30:52.368358Z","2023-03-02T19:30:53.587561Z"
"CNPBKPP2GM",True,"Found","34:3A:20:C9:10:00","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38976997","network","7100832648","CNPBKPP2GM","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38976997","0","","","IN","complete","","","","2023-03-02T19:30:52.374500Z","2023-03-02T19:30:53.603117Z"
"CNPBKPP2GP",True,"Found","34:3A:20:C9:22:8C","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38976999","network","7100832648","CNPBKPP2GP","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38976999","0","","","IN","complete","","","","2023-03-02T19:30:52.381906Z","2023-03-02T19:30:53.782767Z"
"CNPBKPP2HD",True,"Found","34:3A:20:C9:13:C4","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38977021","network","7100832648","CNPBKPP2HD","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38977021","0","","","IN","complete","","","","2023-03-02T19:30:58.216726Z","2023-03-02T19:30:59.102932Z"
"CNPBKPP2HH",True,"Found","34:3A:20:C8:F0:B0","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38977024","network","7100832648","CNPBKPP2HH","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38977024","0","","","IN","complete","","","","2023-03-02T19:30:58.262118Z","2023-03-02T19:30:59.315172Z"
"CNPBKPP2HJ",True,"Found","34:3A:20:C8:EB:58","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38977025","network","7100832648","CNPBKPP2HJ","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38977025","0","","","IN","complete","","","","2023-03-02T19:30:58.390108Z","2023-03-02T19:30:59.432374Z"
"CNPBKPP2HK",True,"Found","34:3A:20:C9:20:9A","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38977026","network","7100832648","CNPBKPP2HK","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38977026","0","","","IN","complete","","","","2023-03-02T19:30:58.407551Z","2023-03-02T19:30:59.487274Z"
"CNPBKPP2HY",True,"Found","34:3A:20:C9:0B:4A","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38977038","network","7100832648","CNPBKPP2HY","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38977038","0","","","IN","complete","","","","2023-03-02T19:30:58.798852Z","2023-03-02T19:31:00.299103Z"
"CNPBKPP2HZ",True,"Found","34:3A:20:C8:FB:36","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38977039","network","7100832648","CNPBKPP2HZ","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38977039","0","","","IN","complete","","","","2023-03-02T19:30:58.825025Z","2023-03-02T19:31:00.337132Z"
"CNPBKPP2J1",True,"Found","34:3A:20:C8:E7:A4","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38977041","network","7100832648","CNPBKPP2J1","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38977041","0","","","IN","complete","","","","2023-03-02T19:30:58.882387Z","2023-03-02T19:31:00.496859Z"
"CNPBKPP2JG",True,"Found","34:3A:20:C8:FA:60","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38977592","network","7100832648","CNPBKPP2JG","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38977592","0","","","IN","complete","","","","2023-03-02T19:35:25.011948Z","2023-03-02T19:35:25.681447Z"
"CNPBKPP2JL",True,"Found","34:3A:20:C9:05:58","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38977595","network","7100832648","CNPBKPP2JL","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38977595","0","","","IN","complete","","","","2023-03-02T19:35:29.597515Z","2023-03-02T19:35:29.863543Z"
"CNPBKPP2JP",True,"Found","34:3A:20:C8:FA:DA","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38977598","network","7100832648","CNPBKPP2JP","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38977598","0","","","IN","complete","","","","2023-03-02T19:35:29.611898Z","2023-03-02T19:35:30.083717Z"
