key,id,tier,status,end_date
EB5DDA7AFE58145C8B,793f30be-3962-55e7-90b6-ce1da7435c55,ADVANCED_SWITCH_6100,N/A,N/A
EE30EED1B043A40118,7a737a0f-3e36-5bab-a379-66e5abd678fb,ADVANCED_SWITCH_6300,N/A,N/A
E4F193EC1EF8047179,7d417d35-967b-574c-b13f-bb1f7cfd29a0,ADVANCED_SWITCH_6100,N/A,N/A
E536FD9B1E36246C3B,7fb4e5ce-69ab-55a8-bfbd-0a644df33460,FOUNDATION_AP,N/A,N/A
ED0477D08A94844778,85b7b390-6082-5b23-8c76-de6a8db47579,ADVANCED_SWITCH_6300,N/A,N/A
E17B62C4874724FC79,8c6bcf6f-1dff-569c-9c1b-f9a9647a04d9,ADVANCED_AP,N/A,N/A
E5758746B45A44CFCB,9a4e6b4f-bb83-5974-83b3-495d0708f36d,ADVANCED_92XX_SEC,N/A,N/A
EFDFAEBB50C6F47109,9c4bc4ee-a8ff-5393-98f0-c6ac4706b7a6,FOUNDATION_AP,N/A,N/A
E4E35DC6062174A578,9e39b498-0529-5f3b-9e14-1a52d3ad3aab,FOUNDATION_SWITCH_6200,N/A,N/A
EB3C31DF1F0B04D57A,9f6e3a8f-4baf-5364-b9d4-56b884167df2,FOUNDATION_AP,N/A,N/A
E981B974D4B614BB19,a056ddef-612b-5973-872e-4b917f1c2668,N/A,N/A,N/A
E048079309FCB402C8,"[False, 'Bad request for get_sub']",N/A,N/A,N/A
E8444F6F6AFE54F548,"[False, 'Bad request for get_sub']",ADVANCED_SWITCH_6100,N/A,N/A
EABD9B612543E49478,b2f6dca0-9595-5039-a60d-486685e9a310,ADVANCED_AP,N/A,N/A
E8DF4FC80ACDB40FEB,b61b03bc-12a2-5e86-a2c4-f1cf80495add,FOUNDATION_AP,N/A,N/A
E6DCFC455EF5044B6B,b6dff52c-589e-5176-85dd-e428a22e4f0e,ADVANCED_SWITCH_6300,N/A,N/A
E2FF18B595F8E495D8,b8e4d5b5-b808-5173-a550-37098b7120b6,FOUNDATION_AP,N/A,N/A
ED471BD0199F54ECBB,bae76489-8572-57d2-9e7c-fd4eb45150fa,ADVANCED_91XX,N/A,N/A
EA06DA982DB7E48B3B,be5cb322-ced5-5982-b21b-0093fab37839,FOUNDATION_AP,N/A,N/A
EFCC5500E760D41A58,c235c765-beb0-5e7e-8857-863c5ed31ded,ADVANCED_SWITCH_6300,N/A,N/A
